risk_scenario_id,control_id,domain_id,score
34,26,1,0
34,26,2,0
34,26,3,3
34,26,4,0
34,26,5,0
34,27,1,0
34,27,2,0
34,27,3,0
34,27,4,0
34,27,5,0
3,95,1,0
3,95,2,0
3,95,3,0
3,95,4,0
3,95,5,0
3,7,1,0
3,7,2,0
3,7,3,3
3,7,4,3
3,7,5,3
3,20,1,0
3,20,2,0
3,20,3,0
3,20,4,0
3,20,5,3
22,95,1,0
22,95,2,0
22,95,3,0
22,95,4,0
22,95,5,0
22,54,1,0
22,54,2,0
22,54,3,0
22,54,4,0
22,54,5,0
22,57,1,0
22,57,2,0
22,57,3,3
22,57,4,0
22,57,5,0
22,59,1,0
22,59,2,0
22,59,3,0
22,59,4,0
22,59,5,0
22,68,1,0
22,68,2,0
22,68,3,0
22,68,4,0
22,68,5,0
23,95,1,0
23,95,2,0
23,95,3,0
23,95,4,0
23,95,5,0
23,54,1,0
23,54,2,0
23,54,3,0
23,54,4,0
23,54,5,0
23,57,1,0
23,57,2,0
23,57,3,3
23,57,4,0
23,57,5,0
23,59,1,0
23,59,2,0
23,59,3,0
23,59,4,0
23,59,5,0
23,68,1,0
23,68,2,0
23,68,3,0
23,68,4,0
23,68,5,0
24,59,1,0
24,59,2,0
24,59,3,0
24,59,4,0
24,59,5,0
24,69,1,0
24,69,2,0
24,69,3,0
24,69,4,0
24,69,5,0
24,73,1,0
24,73,2,0
24,73,3,5
24,73,4,0
24,73,5,0
25,10,1,0
25,10,2,0
25,10,3,0
25,10,4,0
25,10,5,3
25,24,1,0
25,24,2,0
25,24,3,0
25,24,4,4
25,24,5,3
25,59,1,0
25,59,2,0
25,59,3,0
25,59,4,0
25,59,5,0
25,92,1,0
25,92,2,0
25,92,3,0
25,92,4,0
25,92,5,0
26,24,1,0
26,24,2,0
26,24,3,0
26,24,4,4
26,24,5,3
26,69,1,0
26,69,2,0
26,69,3,0
26,69,4,0
26,69,5,0
26,77,1,0
26,77,2,4
26,77,3,0
26,77,4,0
26,77,5,0
26,92,1,0
26,92,2,0
26,92,3,0
26,92,4,0
26,92,5,0
28,39,1,0
28,39,2,0
28,39,3,0
28,39,4,0
28,39,5,3
28,59,1,0
28,59,2,0
28,59,3,0
28,59,4,0
28,59,5,0
28,60,1,0
28,60,2,0
28,60,3,0
28,60,4,0
28,60,5,0
27,10,1,0
27,10,2,0
27,10,3,0
27,10,4,0
27,10,5,3
27,24,1,0
27,24,2,0
27,24,3,0
27,24,4,4
27,24,5,3
27,59,1,0
27,59,2,0
27,59,3,0
27,59,4,0
27,59,5,0
27,69,1,0
27,69,2,0
27,69,3,0
27,69,4,0
27,69,5,0
27,74,1,0
27,74,2,0
27,74,3,3
27,74,4,0
27,74,5,0
27,79,1,0
27,79,2,3
27,79,3,0
27,79,4,0
27,79,5,0
27,89,1,0
27,89,2,0
27,89,3,0
27,89,4,0
27,89,5,0
27,92,1,0
27,92,2,0
27,92,3,0
27,92,4,0
27,92,5,0
29,10,1,0
29,10,2,0
29,10,3,0
29,10,4,0
29,10,5,3
29,24,1,0
29,24,2,0
29,24,3,0
29,24,4,4
29,24,5,3
29,59,1,0
29,59,2,0
29,59,3,0
29,59,4,0
29,59,5,0
29,92,1,0
29,92,2,0
29,92,3,0
29,92,4,0
29,92,5,0
30,11,1,0
30,11,2,0
30,11,3,0
30,11,4,0
30,11,5,3
30,14,1,0
30,14,2,0
30,14,3,0
30,14,4,3
30,14,5,3
30,15,1,0
30,15,2,0
30,15,3,0
30,15,4,0
30,15,5,3
30,16,1,0
30,16,2,0
30,16,3,0
30,16,4,0
30,16,5,3
30,35,1,0
30,35,2,3
30,35,3,0
30,35,4,4
30,35,5,0
30,47,1,0
30,47,2,0
30,47,3,0
30,47,4,0
30,47,5,0
30,73,1,0
30,73,2,0
30,73,3,5
30,73,4,0
30,73,5,0
30,94,1,0
30,94,2,3
30,94,3,3
30,94,4,4
30,94,5,0
31,4,1,0
31,4,2,0
31,4,3,0
31,4,4,0
31,4,5,3
31,10,1,0
31,10,2,0
31,10,3,0
31,10,4,0
31,10,5,3
31,21,1,0
31,21,2,0
31,21,3,0
31,21,4,3
31,21,5,3
31,29,1,0
31,29,2,0
31,29,3,0
31,29,4,0
31,29,5,3
31,33,1,0
31,33,2,0
31,33,3,0
31,33,4,4
31,33,5,3
32,10,1,0
32,10,2,0
32,10,3,0
32,10,4,0
32,10,5,3
32,57,1,0
32,57,2,0
32,57,3,3
32,57,4,0
32,57,5,0
32,69,1,0
32,69,2,0
32,69,3,0
32,69,4,0
32,69,5,0
32,89,1,0
32,89,2,0
